INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('1', 'Diane', 'Gilbert', 'dgilbert0@cbsnews.com', 'Female', 'https://robohash.org/numquamrepudiandaequia.png?size=50x50&set=set1', 'et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('2', 'Ronald', 'Simpson', 'rsimpson1@vkontakte.ru', 'Male', 'https://robohash.org/aspernaturetnesciunt.png?size=50x50&set=set1', 'eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('3', 'Judy', 'Sanchez', 'jsanchez2@ehow.com', 'Female', 'https://robohash.org/expeditaquisquampossimus.jpg?size=50x50&set=set1', 'natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('4', 'Alan', 'Tucker', 'atucker3@wikia.com', 'Male', 'https://robohash.org/sintinciduntaut.bmp?size=50x50&set=set1', 'quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('5', 'Jonathan', 'Foster', 'jfoster4@domainmarket.com', 'Male', 'https://robohash.org/delectusvitaepariatur.png?size=50x50&set=set1', 'lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('6', 'David', 'Marshall', 'dmarshall5@phoca.cz', 'Male', 'https://robohash.org/iurequilaborum.jpg?size=50x50&set=set1', 'non pretium quis lectus suspendisse potenti in eleifend quam a odio in');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('7', 'James', 'West', 'jwest6@live.com', 'Male', 'https://robohash.org/autveroanimi.png?size=50x50&set=set1', 'congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('8', 'Jesse', 'Allen', 'jallen7@miitbeian.gov.cn', 'Male', 'https://robohash.org/maximenihilsit.png?size=50x50&set=set1', 'ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('9', 'Ralph', 'Morales', 'rmorales8@rakuten.co.jp', 'Male', 'https://robohash.org/voluptatumperspiciatisducimus.png?size=50x50&set=set1', 'urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('10', 'Angela', 'Garza', 'agarza9@ucsd.edu', 'Female', 'https://robohash.org/suntquitotam.png?size=50x50&set=set1', 'etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('11', 'Katherine', 'Alvarez', 'kalvareza@example.com', 'Female', 'https://robohash.org/autharumomnis.jpg?size=50x50&set=set1', 'sit amet eros suspendisse accumsan tortor quis turpis sed ante');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('12', 'Jacqueline', 'Hunt', 'jhuntb@bigcartel.com', 'Female', 'https://robohash.org/animierroraut.jpg?size=50x50&set=set1', 'in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('13', 'Jean', 'Hamilton', 'jhamiltonc@topsy.com', 'Female', 'https://robohash.org/voluptatumsapienteea.bmp?size=50x50&set=set1', 'felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('14', 'Richard', 'Ortiz', 'rortizd@ovh.net', 'Male', 'https://robohash.org/hiceosfugit.bmp?size=50x50&set=set1', 'eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('15', 'Lois', 'Jacobs', 'ljacobse@prlog.org', 'Female', 'https://robohash.org/dignissimosetaut.jpg?size=50x50&set=set1', 'id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('16', 'Richard', 'Torres', 'rtorresf@xing.com', 'Male', 'https://robohash.org/etquidemnisi.png?size=50x50&set=set1', 'semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('17', 'Raymond', 'Kennedy', 'rkennedyg@columbia.edu', 'Male', 'https://robohash.org/eavoluptatemrecusandae.bmp?size=50x50&set=set1', 'in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('18', 'Brandon', 'Holmes', 'bholmesh@gov.uk', 'Male', 'https://robohash.org/etasperioresminima.png?size=50x50&set=set1', 'id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('19', 'Billy', 'Sullivan', 'bsullivani@chronoengine.com', 'Male', 'https://robohash.org/atquequodsed.jpg?size=50x50&set=set1', 'magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('20', 'Arthur', 'Peterson', 'apetersonj@ft.com', 'Male', 'https://robohash.org/modifugiatodit.png?size=50x50&set=set1', 'ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('21', 'George', 'Vasquez', 'gvasquezk@1688.com', 'Male', 'https://robohash.org/rerumvelitquam.png?size=50x50&set=set1', 'rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('22', 'Douglas', 'Collins', 'dcollinsl@printfriendly.com', 'Male', 'https://robohash.org/deseruntautminima.png?size=50x50&set=set1', 'diam id ornare imperdiet sapien urna pretium nisl ut volutpat');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('23', 'Bobby', 'West', 'bwestm@blogger.com', 'Male', 'https://robohash.org/nullaearumest.bmp?size=50x50&set=set1', 'scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('24', 'Alan', 'Roberts', 'arobertsn@bluehost.com', 'Male', 'https://robohash.org/quasenimquia.bmp?size=50x50&set=set1', 'lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('25', 'Laura', 'Fields', 'lfieldso@spotify.com', 'Female', 'https://robohash.org/etquaelaudantium.bmp?size=50x50&set=set1', 'vestibulum ante ipsum primis in faucibus orci luctus et ultrices');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('26', 'Lisa', 'Smith', 'lsmithp@skype.com', 'Female', 'https://robohash.org/etnobisomnis.bmp?size=50x50&set=set1', 'quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('27', 'Adam', 'Nguyen', 'anguyenq@merriam-webster.com', 'Male', 'https://robohash.org/quaesimiliquererum.jpg?size=50x50&set=set1', 'turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('28', 'Dorothy', 'Reed', 'dreedr@cbsnews.com', 'Female', 'https://robohash.org/sitofficiaearum.jpg?size=50x50&set=set1', 'vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
VALUES ('29', 'Helen', 'Jackson', 'hjacksons@t-online.de', 'Female', 'https://robohash.org/dignissimosvelblanditiis.jpg?size=50x50&set=set1', 'eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in');
INSERT INTO osobe (id, ime, prezime, email, spol, slika, zivotopis)
